"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
5949 85.565560 85.565560 163.225560 163.225560
6137 85.565560 85.565560 163.225560 163.225560
6287 85.565560 85.565560 163.225560 163.225560
6369 85.565560 85.565560 163.225560 163.225560
6597 85.565560 85.565560 163.225560 163.225560
6664 85.565560 85.565560 163.225560 163.225560
6666 85.565560 85.565560 163.225560 163.225560
6806 85.565560 85.565560 163.225560 163.225560
7125 85.565560 85.565560 163.225560 163.225560
7161 85.565560 85.565560 163.225560 163.225560
7220 85.565560 85.565560 163.225560 163.225560
7230 85.565560 85.565560 163.225560 163.225560
7431 85.565560 85.565560 163.225560 163.225560
7440 85.565560 85.565560 163.225560 163.225560
7474 85.565560 85.565560 163.225560 163.225560
7569 85.565560 85.565560 163.225560 163.225560
7611 85.565560 85.565560 163.225560 163.225560
7686 85.565560 85.565560 163.225560 163.225560
7733 85.565560 85.565560 163.225560 163.225560
7742 85.565560 85.565560 163.225560 163.225560
8034 85.565560 85.565560 163.225560 163.225560
8067 85.565560 85.565560 163.225560 163.225560
8199 85.565560 85.565560 163.225560 163.225560
8259 85.565560 85.565560 163.225560 163.225560
8265 85.565560 85.565560 163.225560 163.225560
8335 85.565560 85.565560 163.225560 163.225560
8551 85.565560 85.565560 163.225560 163.225560
8709 85.565560 85.565560 163.225560 163.225560
8854 85.565560 85.565560 163.225560 163.225560
9112 85.565560 85.565560 163.225560 163.225560
9114 85.565560 85.565560 163.225560 163.225560
9180 85.565560 85.565560 163.225560 163.225560
9185 85.565560 85.565560 163.225560 163.225560
9258 85.565560 85.565560 163.225560 163.225560
9307 85.565560 85.565560 163.225560 163.225560
9621 85.565560 85.565560 163.225560 163.225560
9675 85.565560 85.565560 163.225560 163.225560
9912 85.565560 85.565560 163.225560 163.225560
10012 85.565560 85.565560 163.225560 163.225560
10097 85.565560 85.565560 163.225560 163.225560
10209 85.565560 85.565560 163.225560 163.225560
